Title,Artist,Year,Position,Genre (Broad 1),Genre (Broad 2),Genre (Specific 1),Genre (Specific 2),Genre (Specific 3),Link to Audio,Time Signature 1,Time Signature 2,Tonic 1,Tonic 2,Tonic 3,Tonic 4,Tonic 5,Tonic 6,Mode 1,Mode 2,Mode 3,Mode 4,Mode 5,Mode 6,BPM 1,BPM 2,BPM 3
Cherry Pink and Apple Blossom White,Perez Prado,1955,1,Latin,N/A,N/A,N/A,N/A,https://open.spotify.com/track/5HisVcYPaIB4uHdrnW6HCt?si=ec6a72e747534fb9,4/4,,Eb,,,,,,Major,,,,,,118,,
Rock Around the Clock,Bill Haley & His Comets,1955,2,Rock,N/A,Rockabilly,N/A,N/A,https://open.spotify.com/track/7hLOIb9E7VKmsVelNq6YZK?si=ad896ef8e3c14fa1,4/4,,A,,,,,,Major,,,,,,182,,
The Yellow Rose of Texas,Mitch Miller,1955,3,Folk,N/A,N/A,N/A,N/A,https://open.spotify.com/track/7985fUI9WlsIIrQuO9TBDh?si=292e16947965486c,4/4,,Ab,A,Bb,,,,Major,Major,Major,,,,100,,
Autumn Leaves,Roger Williams,1955,4,Jazz,N/A,N/A,N/A,N/A,https://open.spotify.com/track/3hg2zWOJ0MCgvBCD8fzMgt?si=87f37a74bf06472c,4/4,,D,,,,,,Minor,,,,,,112,,
Unchained Melody,Les Baxter,1955,5,Pop,N/A,Easy listening,N/A,N/A,https://open.spotify.com/track/4dnbvB2Y3cZncApCwowEQx?si=e0bb4996368645dc,4/4,,G,,,,,,Major,,,,,,93,70,
Heartbreak Hotel,Elvis Presley,1956,1,Rock,R&B,Rockabilly,N/A,N/A,https://open.spotify.com/track/6xNwKNYZcvgV3XTIwsgNio?si=064429528c474207,12/8,,E,,,,,,Minor,,,,,,94,,
Don't Be Cruel,Elvis Presley,1956,2,Rock,N/A,Rockabilly,N/A,N/A,https://open.spotify.com/track/01u6AEzGbGbQyYVdxajxqk?si=c4f1fe5c7e0e4487,12/8,,D,,,,,,Major,,,,,,85,,
Lisbon Antigua,Nelson Riddle,1956,3,Pop,N/A,Easy listening,N/A,N/A,https://open.spotify.com/track/07tMKurz0WxXRP7ktP2r8C?si=cc7e3a47ab7c405b,4/4,,C,F,C#,,,,Major,Major,Major,,,,80,,
My Prayer,The Platters,1956,4,R&B,Pop,Doo-wop,Traditional pop,N/A,https://open.spotify.com/track/1ntGJDSakqsaw1KhptKrB5?si=148cdbd8a3e34558,6/8,,Bb,,,,,,Major,,,,,,109,,
The Wayward Wind,Gogi Grant,1956,5,Pop,N/A,Easy listening,N/A,N/A,https://open.spotify.com/track/2VqsUEpRPvgiiBdsBuQrJz?si=cf841c4169f24725,4/4,,Bb,B,,,,,Major,Major,,,,,138,,
All Shook Up,Elvis Presley,1957,1,Rock,R&B,N/A,N/A,N/A,https://open.spotify.com/track/5ueyLj6e6oVaTY0KQ6yLaA?si=adde916f9aa04a03,12/8,,Bb,,,,,,Major,,,,,,74,,
Love Letters in the Sand,Pat Boone,1957,2,Pop,N/A,Traditional pop,N/A,N/A,https://open.spotify.com/track/1eqGYJJr2z2GXK1i0hD3BC?si=821e3dd1c8ca4c4c,12/8,,Eb,,,,,,Major,,,,,,89,,
Little Darlin,The Diamonds,1957,3,R&B,Rock,Doo-wop,N/A,N/A,https://open.spotify.com/track/7ycFNferNuk6wAjBa0vWvl?si=53236816fbc34823,4/4,,F#,,,,,,Major,,,,,,153,,
Young Love,Tab Hunter,1957,4,Pop,N/A,N/A,N/A,N/A,https://www.youtube.com/watch?v=vm3p1dCSA5Y,12/8,,C,,,,,,Major,,,,,,102,,
So Rare,Jimmy Dorsey,1957,5,Jazz,N/A,Big band,N/A,N/A,https://open.spotify.com/track/1gA4f2lkenxCcWLPjKRV0N?si=fdc8bab22c0742b7,4/4,,G,,,,,,Major,,,,,,87,,
